
Image Name                     PID Session Name        Session#    Mem Usage
adb.exe                      38416 RDP-Tcp#0                  3     11,980 K
adb.exe                      30560 RDP-Tcp#0                  3     12,000 K
adb.exe                       6008 RDP-Tcp#0                  3     11,984 K
adb.exe                      32380 RDP-Tcp#0                  3     11,972 K
adb.exe                      17100 RDP-Tcp#0                  3     11,984 K
adb.exe                      32720 RDP-Tcp#0                  3     11,984 K
adb.exe                      34284 RDP-Tcp#0                  3     11,976 K
adb.exe                      35800 RDP-Tcp#0                  3     12,024 K
adb.exe                      24692 RDP-Tcp#0                  3     11,976 K
adb.exe                      16632 RDP-Tcp#0                  3     11,976 K
adb.exe                      16012 RDP-Tcp#0                  3     11,972 K
adb.exe                      33476 RDP-Tcp#0                  3     11,984 K
adb.exe                        648 RDP-Tcp#0                  3     12,012 K
adb.exe                      25976 RDP-Tcp#0                  3     11,976 K
adb.exe                      37860 RDP-Tcp#0                  3     12,000 K
adb.exe                      17800 RDP-Tcp#0                  3     11,964 K
adb.exe                      21032 RDP-Tcp#0                  3     11,988 K
adb.exe                      18828 RDP-Tcp#0                  3     11,992 K
adb.exe                      32800 RDP-Tcp#0                  3     11,976 K
cmd.exe                       6120 RDP-Tcp#0                  3      5,124 K
adb.exe                      38424 RDP-Tcp#0                  3     11,940 K
adb.exe                       1704 RDP-Tcp#0                  3     11,968 K
adb.exe                      29668 RDP-Tcp#0                  3     11,960 K
adb.exe                      11488 RDP-Tcp#0                  3     11,984 K
adb.exe                      32876 RDP-Tcp#0                  3     11,980 K
adb.exe                      12400 RDP-Tcp#0                  3     11,980 K
adb.exe                      10928 RDP-Tcp#0                  3     11,980 K
adb.exe                       1520 RDP-Tcp#0                  3     11,980 K
adb.exe                       3000 RDP-Tcp#0                  3     11,976 K
adb.exe                      32120 RDP-Tcp#0                  3     11,980 K
adb.exe                      29740 RDP-Tcp#0                  3     11,960 K
adb.exe                      26484 RDP-Tcp#0                  3     11,964 K
adb.exe                       1204 RDP-Tcp#0                  3     11,984 K
adb.exe                      38108 RDP-Tcp#0                  3     12,064 K
adb.exe                      30292 RDP-Tcp#0                  3     12,060 K
adb.exe                       1980 RDP-Tcp#0                  3     12,008 K
adb.exe                      37104 RDP-Tcp#0                  3     12,036 K
adb.exe                      35244 RDP-Tcp#0                  3     12,004 K
adb.exe                      22304 RDP-Tcp#0                  3     12,056 K
conhost.exe                  38232 RDP-Tcp#0                  3      8,680 K
powershell.exe               35584 RDP-Tcp#0                  3     92,016 K
conhost.exe                  37512 RDP-Tcp#0                  3      8,672 K
powershell.exe               35008 RDP-Tcp#0                  3     91,844 K
adb.exe                      14236 RDP-Tcp#0                  3     12,044 K
conhost.exe                  36424 RDP-Tcp#0                  3      8,640 K
powershell.exe               12052 RDP-Tcp#0                  3     91,292 K
cmd.exe                      38720 RDP-Tcp#0                  3      5,120 K
adb.exe                      14376 RDP-Tcp#0                  3     11,932 K
adb.exe                      22900 RDP-Tcp#0                  3     11,984 K
adb.exe                      15856 RDP-Tcp#0                  3     11,984 K
adb.exe                      15456 RDP-Tcp#0                  3     11,976 K
conhost.exe                  31340 RDP-Tcp#0                  3      8,684 K
powershell.exe               15012 RDP-Tcp#0                  3     95,092 K
node.exe                     28132 RDP-Tcp#0                  3     50,968 K
cmd.exe                      35572 RDP-Tcp#0                  3      5,152 K
node.exe                     26436 RDP-Tcp#0                  3     42,076 K
cmd.exe                      30608 RDP-Tcp#0                  3      6,976 K
cmd.exe                      16664 RDP-Tcp#0                  3      5,132 K
node.exe                     14676 RDP-Tcp#0                  3     45,700 K
node.exe                     13924 RDP-Tcp#0                  3   1,62,520 K
node.exe                     16044 RDP-Tcp#0                  3     66,212 K
cmd.exe                       6084 RDP-Tcp#0                  3      7,044 K
node.exe                     35628 RDP-Tcp#0                  3   4,18,444 K
adb.exe                      31248 RDP-Tcp#0                  3     11,972 K
adb.exe                        196 RDP-Tcp#0                  3     11,964 K
conhost.exe                  17360 RDP-Tcp#0                  3      8,672 K
powershell.exe               21992 RDP-Tcp#0                  3     95,924 K
adb.exe                      19556 RDP-Tcp#0                  3     11,976 K
adb.exe                      29664 RDP-Tcp#0                  3     11,980 K
conhost.exe                  38820 RDP-Tcp#0                  3      8,652 K
powershell.exe               31904 RDP-Tcp#0                  3     91,160 K
adb.exe                      27196 RDP-Tcp#0                  3     11,952 K
adb.exe                      25748 RDP-Tcp#0                  3     11,988 K
conhost.exe                  17116 RDP-Tcp#0                  3      8,644 K
powershell.exe                4468 RDP-Tcp#0                  3     91,904 K
adb.exe                      34676 RDP-Tcp#0                  3     11,976 K
adb.exe                       3320 RDP-Tcp#0                  3     11,980 K
adb.exe                      36464 RDP-Tcp#0                  3     11,976 K
conhost.exe                  11984 RDP-Tcp#0                  3      8,652 K
powershell.exe               22480 RDP-Tcp#0                  3     91,468 K
